tic_id,spectype,Teff,R,M,met,L
TIC 239332587,M1.5 V,3600.0,0.4144,29.914455962017072,-4.82,24.997691929104807
TIC 243185500,M3.0 V,3496.0,0.344,29.828705608563755,-4.58,24.785731929104806
TIC 243641947,M V,3388.8,0.3697,29.893891891169815,-4.276,24.793291929104807
TIC 246835467,G6 V,5726.0,1.15,30.3398985955189,-4.38,26.690181929104806
TIC 248048656,F8 V,5966.0,1.27,30.30710608212259,-4.675,26.859431929104804
TIC 248608315,G V,5784.0,1.147,30.304115355720953,-4.49,26.706821929104805
TIC 251078595,M0 V,4001.0,0.58,30.13735500109793,-4.59,25.480051929104807
TIC 251078597,M0 V,4014.0,0.58,30.104685884344562,-4.57,25.481701929104805
TIC 255480497,G6 V,5505.0,0.99,30.276229515649522,-4.32,26.491461929104805
TIC 256419669,M1.5 V,3805.0,0.511,30.010313139401863,-4.41,25.276521929104806
TIC 257870150,M7.0 V,2904.0,0.107,29.247895917005586,-4.73,23.446291929104806
TIC 259377017,M3.0 V,3386.0,0.38,29.900565901688637,-4.71,24.813421929104805
TIC 26017005,G8 V,5581.0,0.941,30.291501008792014,-4.404,26.470971929104806
TIC 260708537,M2.5 V,3485.0,0.4314,29.92103077276424,-4.39,24.966791929104804
TIC 261136679,G0 V,6037.0,1.1,30.337523232358084,-4.46,26.742541929104807
TIC 262530407,M2 V,3556.0,0.516,30.013673268209132,-4.6,25.240981929104805
TIC 263003176,F V,6203.0,1.194,30.350044300876,-4.66,26.863321929104806
TIC 264678534,K0 V,5070.0,0.779,30.201595897352618,-4.582,26.139271929104805
TIC 266680498,G0 V,6030.0,1.34,30.39192759552291,-4.2,26.912971929104806
TIC 267215820,K4 V,4610.0,0.65,30.1245807130615,-4.71,25.821021929104806
TIC 268804174,K7 V,4051.0,0.747,30.130375684641177,-4.42,25.713301929104805
TIC 26884478,F5-F8 V,6400.0,1.38,30.39541592336873,-4.547,27.042361929104807
TIC 269217040,G0 V,5948.0,1.209,30.34461069760671,-4.45,26.800451929104806
TIC 269701147,G9 V,5348.0,0.94,30.20699092923932,-4.69,26.395881929104807
TIC 27064468,F V,6150.0,1.241,30.39192759552291,-4.36,26.881821929104806
TIC 271898990,G9 V,5311.0,0.922,30.238524065368335,-4.54,26.378851929104805
TIC 271972463,F7 V,6255.0,1.401,30.361839269312423,-4.65,27.015941929104805
TIC 272232401,M3 V,3406.0,0.388,29.86670763442767,-4.54,24.850971929104805
TIC 274626553,M4.5 V,3273.0,0.19734,29.5637955362215,-4.66,24.187841929104806
TIC 275573429,G4 V,5638.0,0.93,30.20699092923932,-4.83,26.485971929104807
TIC 276754403,F8 V,6110.0,1.436,30.384865741035423,-4.48,26.995971929104805
TIC 277888583,M2.0 V,3579.0,0.426,29.927915509463393,-4.63,25.012241929104807
TIC 283031851,M1.0 V,3734.0,0.495,29.99573525312039,-4.46,25.202061929104804
TIC 283722336,K3 V,4913.0,0.77,30.198326412787768,-4.46,26.074331929104805
TIC 284441182,M1.5 V,3709.0,0.469,29.97152681748957,-4.54,25.158161929104807
TIC 284907742,G0 V,5836.0,1.38,30.327889688045882,-4.4,26.886171929104805
TIC 28900646,M2.65 V,3575.0,0.4555,29.955561763217776,-4.24,25.067551929104805
TIC 290543478,G6 V,5540.0,0.9,30.2527484198,-4.44,26.402971929104805
TIC 290742484,K0 V,5321.0,0.86,30.25754730268177,-4.42,26.291391929104805
TIC 291685334,F4 V,6387.0,1.564,30.447416903470028,-4.264,27.146451929104806
TIC 291751373,G0 V,6007.0,1.272,30.35731139703658,-4.581,26.861721929104807
TIC 293687315,F4 V,6670.0,1.908,30.481490877364255,-4.45,27.395881929104807
TIC 293954617,K V,5075.0,0.772,30.227413600604624,-4.56,26.139271929104805
TIC 294401924,M4.0 V,3347.0,0.299,29.76239889934658,-4.72,24.587551929104805
TIC 295541511,G5 V,5635.0,1.05,30.28527764462692,-4.404,26.139271929104805
TIC 296739893,M2.5 V,3708.0,0.55,30.059681723516405,-4.19,25.294781929104808
TIC 297373047,M0 V,3926.0,0.62,30.104685884344562,-4.54,25.537211929104807
TIC 299220166,G1 V,5725.0,0.92,30.25754730268177,-4.75,26.493971929104806
TIC 29960109,M2.5 V,3437.0,0.462,29.964086901378625,-4.49,25.011591929104807
TIC 29960110,M2.0 V,3476.0,0.508,30.007775871336502,-4.49,25.114451929104806
TIC 301051051,G6 V,5368.0,0.93,30.196133001651116,-4.96,26.419861929104805
TIC 301289516,K7 V,4236.0,0.58,30.090897599858927,-4.83,25.578611929104806
TIC 302773669,G0 V,6079.0,1.47,30.3776871564083,-4.3,26.997971929104807
TIC 303432813,K2 V,5070.0,0.78,30.201595897352618,-4.34,26.093971929104807
TIC 304142124,K0.5 V,5212.0,0.87,30.217584002736746,-4.5,26.273171929104805
TIC 306996324,M1 V,3709.0,0.538,30.034104810058853,-4.74,25.273171929104805
TIC 307210830,M3 V,3415.0,0.3155,29.76433472571811,-5.0,24.669331929104807
TIC 307809773,M0 V,3803.0,0.439,29.940970430602796,-4.97,25.143001929104805
TIC 308087983,G5 V,5783.0,1.333,30.31512145791785,-4.47,26.835821929104807
TIC 309792357,G9 V,5255.0,0.82,30.269781759098777,-4.32,26.244781929104807
TIC 311133118,K2 V,5052.0,0.722,30.213377727900724,-4.565,26.068691929104805
TIC 317520667,A8 V,7500.0,1.5,30.46582324510885,-4.79,27.389151929104806
TIC 318753380,K5 V,4375.0,0.631,30.106040938429526,-4.83,25.718101929104805
TIC 322391844,M4.0 V,3326.0,0.305,29.771262359677884,-4.44,24.610731929104805
TIC 323687123,M5 V,3173.0,0.1965,29.512023667356978,-4.67,24.128281929104805
TIC 325554331,M3.5-4 V,3195.0,0.185,29.508020924903303,-5.1000000000000005,24.133201929104807
TIC 327303574,G1 V,6017.0,1.73,30.409095620659922,-4.36,27.154971929104807
TIC 32820141,K0 V,5442.0,0.94,30.298505910360674,-4.2,26.478941929104806
TIC 328465904,M5.0 V,3130.0,0.175,29.505331786392524,-4.41,24.050431929104807
TIC 333473672,G2 V,5840.0,1.019,30.29017491774062,-4.63,26.630631929104805
TIC 336128819,M4.5 V,3342.0,0.34,29.829984827402928,-4.51,24.696911929104807
TIC 34068865,M1.0 V,3522.0,0.458,29.956517307017787,-4.55,25.043871929104807
TIC 347909637,G3 V,5841.0,1.05,30.343828889147332,-4.32,26.642971929104807
TIC 348652846,G0 V,6123.0,1.12,30.349658432808056,-4.49,26.696971929104805
TIC 349972412,K1 V,5315.0,0.92,30.247895917005586,-4.38,26.375361929104805
TIC 35009898,M2 V,3521.0,0.43,29.920719933326968,-4.42,24.973911929104805
TIC 350618622,F6 V,6394.0,1.317,30.41776179963861,-4.3,26.997941929104805
TIC 352617553,M5.0 V,3158.0,0.1813,29.521222381508256,-4.47,24.051911929104804
TIC 353804063,K7 V,4203.0,0.65,30.13735500109793,-4.59,25.669331929104807
TIC 355867695,K6 V,4227.0,0.65,30.11804984590254,-4.64,25.725981929104805
