source_id,M,met,L,evolstage_flame,Teff,R,spectype
6030050417621404160,30.186472272397094,-4.7316,26.28600698065051,353,4748.6895,0.6707,K
6030050417621427968,30.236395050691684,-5.1098,26.407698067717373,339,5385.5347,0.7162,G
6030021388057330176,30.277931763963018,-5.0377,26.36919229328858,132,5506.0474,0.7533,F
6030021388057341056,30.23034156476733,-5.0904,26.37034872479825,330,5298.798,0.9069,G
6030079215457409920,30.242318235279843,-6.1538,26.644448308810496,360,5518.4756,0.73,M
6030079215457908608,30.15776709020113,-4.9159,25.91626500672803,320,4503.9746,0.6113,K
6030079215484872704,30.228584411482352,-5.3782,26.226449083317426,298,5141.974,0.9003,F
6030050451981162112,30.216799597308334,-6.0407,26.07322663967342,182,5170.6523,0.5339,F
6030079245442404096,30.223324833823277,-5.6994,26.215160361429916,294,5164.6636,0.5702,F
6030079245442417920,30.222417389758032,-4.1969,26.214842122147406,256,5123.6953,0.8143,M
6030050456350141056,30.145459382057275,-6.2675,25.66574742897996,103,4396.383,0.5976,F
6030021452369186816,30.143068476533067,-5.8114,25.92098035036297,352,4357.921,0.8333,K
6030021452369199872,30.164439093036396,-4.5214,26.013776782817565,359,4622.764,0.6979,K
6030050486340920320,30.25800397846703,-7.0341,26.205397989410272,153,5489.3755,0.5773,B
6030050486340930176,30.147803907443556,-4.0653,25.78160427706136,187,4427.545,0.656,K
6030079211082642944,30.233124301216634,-6.035,26.518336993109838,359,5407.4697,1.0786,G
6030079284117278208,30.206422489485956,-5.9328,26.19073050919793,314,5011.185,0.5256,G
6030021456776846208,30.193192294896473,-5.7487,26.17109148855071,325,4929.154,0.5557,F
6030021486730458624,30.23337613021083,-6.0332,26.09257373807873,115,5341.7354,0.6568,G
6030079284176867456,30.23023248754069,-5.0256,26.389271724691415,345,5277.6807,0.6974,K
6030079284176886272,30.248078575053714,-6.313,26.505040498817177,335,5518.655,1.0321,K
6030079314161931136,30.240502746032075,-5.3764,26.241355962324274,276,5198.654,0.9157,F
6030079318477041920,30.24914357371706,-6.0106,26.51665622452598,350,5522.6157,0.6089,F
6030021491136588928,30.174743328413886,-5.8255,26.04816409531829,284,4687.169,0.4787,K
6030079318477046528,30.269127086644364,-5.2796,26.37250434447344,190,5538.5312,0.6857,G
6030021525496288512,30.216764768576425,-5.7661,26.18891658726854,244,5121.136,0.5621,F
6030050589420025472,30.230969324905814,-6.0789,26.452414113277552,357,5347.5537,1.0193,G
6030021559865162496,30.23762397916596,-6.0827,26.46401175273417,348,5470.3926,1.0943,F
6030050658139509376,30.402492509435568,-7.1999,27.12870030481337,302,6180.2437,1.553,G
6030079421615872896,30.260507460301383,-4.8105,26.699435016988954,359,5026.49,1.5067,K
6030021624167976064,30.211905873610377,-6.1152999999999995,26.088770015256127,176,5106.036,0.5297,F
6030021628575555712,30.243062435903873,-4.8506,26.51335084583921,358,4721.753,1.4307,G
