tic_id,gaia_id,spectype,M,L,Teff,R,met
TIC 8963531,2439238852271933568,G,30.223301906158586,26.581551108194,5590.097,1.0529,-4.7780000000000005
TIC 9001920,732857558276385664,K,30.11141926700353,25.704680269027065,3869.1812,0.7971,-4.3
TIC 9006668,2405081733281425280,K,30.196133001651116,26.10218608599273,4942.86,0.7823,-4.654
TIC 90090343,4072055435329128576,K,30.230979675037826,26.026171438597498,4797.0103,0.7532,-4.585
TIC 9030096,2435647095676990592,G,30.29414110495822,26.67449378030781,5730.752,1.1143,-4.502
TIC 9030119,2435650050614494336,G,30.195582913570092,26.450050595458062,5319.9004,1.0036,-4.656
TIC 91051152,2841043011433969152,K,30.15583840679194,25.874047716702382,4475.983,0.7206,-4.69
TIC 9156146,2391838429257482496,G,30.315539249659455,26.749405750748725,5817.9634,1.1946,-4.54
TIC 91987762,644224345413418880,F,30.394859670353966,27.157725911241403,6277.062,1.6379,-4.635
TIC 9348006,803285607362611840,G,30.263142614149174,26.25495521164775,5202.0425,0.8466,-4.378
TIC 9443323,277493615044741376,F,30.31176457564419,27.00968307023408,6061.018,1.403,-4.764
TIC 94986319,2984582227215748864,G,30.21915091176746,26.33613771434128,5410.338,0.856,-4.5840000000000005
TIC 95589845,3034394776886475520,F,30.39541592336873,27.08514657222002,6401.2827,1.4351,-4.642
TIC 97568467,3342228616422593664,F,30.56778530013257,27.529680268346755,6333.0283,2.4751,-4.446
TIC 97825640,3531594209836279168,K,30.184996635533157,25.87999972867648,4496.9033,0.7185,-4.58
TIC 97921547,5590415817155428224,A,30.5026258930166,27.360017858359075,7213.661,1.5368,-4.65
TIC 98545929,5605119586158973440,A,30.548925912669567,27.76431338787568,8281.33,2.0869,-4.499
TIC 98594138,3578046995560843520,G,30.270360456420384,26.58084917396718,5653.001,1.0329,-4.35
