st_mass,st_met,st_lum
-0.5272435506827877,0.1,-1.97224
-0.7864822430036951,-0.13,-2.45469
-0.790484985457369,-0.56,-2.44977
0.04921802267018165,0.24,0.30255
0.11058971029924898,0.18,0.572
0.0,0.34,-0.10403
-0.7931741239681502,0.13,-2.53254
-0.10790539730951958,-0.36,-0.161
-0.008330992620051497,-0.09,0.04766
-0.46852108295774486,0.03,-1.88606
-0.34198860334288755,-0.01,-1.5391
0.045322978786657475,0.22,0.06
0.05115252244738129,0.05,0.114
-0.05060999335508721,0.16,-0.20761
-0.3777859770337047,0.12,-1.60906
0.1192558892779367,0.24,0.41497
-0.08092190762392612,-0.24,0.32428
-0.7772835288524167,0.07,-2.53106
-0.16115090926274472,-0.05,-0.91364
-0.1804560644581313,-0.1,-0.85699
-0.24412514432750865,-0.58,-1.0
-0.08460016478773018,0.04,-0.40121
0.021189299069938092,0.37,0.11461
0.11793383503964149,0.25,0.47129
-0.14874165128092473,0.08,-0.58503
-0.05060999335508721,0.07,-0.16749
-0.42136079003192767,0.09,-1.77728
-0.12493873660829995,0.01,-0.60206
0.04493154614916006,0.1,0.0983
-0.530177984021837,-0.08,-1.90781
-0.057991946977686754,0.04,-0.14267
0.24303804868629444,0.0,1.08743
0.01367969729119256,0.14,-0.00436
-0.3979400086720376,-0.1,-1.79588
-0.11350927482751812,-0.31,-0.639
-0.017728766960431602,0.4,-0.137
-0.34008379993014975,0.09,-1.58503
-0.3565473235138126,-0.32,-1.55284
-0.09366495819490933,-0.4,-0.27327
-0.026872146400301365,0.16,0.075
-0.21041928783557454,-0.47,-1.05899
0.0835026198302674,0.0,0.29226
-0.036212172654444715,-0.12,-0.149
0.05307844348341968,0.21,0.061
0.08278537031645007,0.08,0.28103
-0.022276394711152253,0.23,-0.222
-0.36653154442041347,-0.05,-1.69897
-0.27572413039921095,0.376,-1.3098
-0.17392519729917355,-0.61,-0.40894
-0.4775557664936801,-0.15,-1.9165
0.021189299069938092,-0.13,0.425
0.13033376849500614,-0.1,0.67117
0.18069920129603473,0.282,0.65321
-0.10292299679057967,0.03,-0.48017
-0.6270879970298935,-0.13,-2.14569
-0.09691001300805639,0.3,-0.449
-0.060480747381381476,0.05,-0.3279
-0.2907300390241692,-0.26,-1.36653
-0.3010299956639812,-0.1,-1.658
0.08635983067474821,0.28,0.332
-0.7510463845042924,-0.2,-2.44503
-0.2924298239020636,-0.14,-1.36653
-0.8239087409443188,-0.13,-2.59517
0.00860017176191757,0.25,0.14613
-0.3124710387853657,0.148,-1.51215
0.00860017176191757,0.09,-0.1549
-0.21752737583371382,0.05,-1.05715
0.1195857749617838,0.141,0.52634
-0.46597389394386496,-0.12,-1.79833
-0.1549019599857432,0.0,-0.72125
