source_id,mass_flame,mh_gspphot,lum_flame,evolstage_flame,teff_gspphot,radius_gspphot,spectraltype_esphs
6030082543977483392,1.181613,-1.2205,2.7118008,329,6065.658,1.1988,G
6030054781308414336,0.8411911,-0.6337,0.39851782,232,5109.5493,0.637,G
5253739515608843008,0.73764396,-1.6314,0.23753712,309,4513.5884,0.7563,K
5253641246763204864,1.8577178,-0.2284,15.272546,200,8161.3364,1.5473,A
5253641246763208320,2.0477474,-0.5197,16.693798,118,9534.248,1.4856,A
5961447734005394048,0.8715096,-0.5508,0.9654381,359,5077.187,1.0296,K
5961447763997712384,2.3280282,-0.135,46.662292,277,7630.263,3.9756,B
5253739549968335232,1.643525,-0.875,9.978834,235,7092.99,1.9183,F
5253739580020470272,1.2406812,-0.9621,2.8119838,229,6400.278,1.1045,F
5253641246763218432,3.8600948,-0.7862,297.8859,227,13320.888,3.4553,B
5253641276785378944,1.0467068,-0.4975,0.82944226,114,5815.147,0.8883,F
5961408495181221248,1.1324582,-0.419,1.7421433,232,6137.7427,1.1458,F
5961408525177338496,1.6747217,-0.315,10.6399975,229,6969.2476,2.6593,F
5253739584328054656,1.812462,-0.8122,12.638755,162,8353.47,1.7444,A
5253739584328056320,1.6679504,-0.6534,10.632436,239,7073.233,2.2013,F
5253739584328063104,1.098642,-0.6281,1.146612,120,5998.166,0.9891,F
5253593418002994304,1.6748462,-1.4634,8.617828,139,7942.752,1.5028,A
6030054815668167680,0.75980854,-0.9432,0.39497155,337,4795.0386,0.5462,G
6030054815668175488,0.87147516,-1.0975,0.39212495,185,5479.972,0.6158,F
5961408529492260992,1.5300694,0.0243,7.9703374,294,6285.99,1.801,F
5961447768364834176,1.3952844,0.0005,4.1172814,158,6859.0825,1.4993,G
5253593418003005568,2.225535,-0.4923,42.239964,324,7139.24,5.0995,F
5253641281122972416,0.83478403,-1.4545,0.64142656,349,5183.5527,0.5565,K
6030082548354448128,0.9191887,-1.6044,1.0022417,357,5665.493,0.6393,G
6030109280237620352,1.0931457,-0.8637,1.3289152,194,6018.1274,0.9648,G
5253739618687816064,0.89246756,-0.0133,0.82140255,359,5346.937,0.8219,G
